created_at,contact_id,entity_id,id,owner_id,entity_type,source,activity_type,summary,payload
2026-05-20 23:00:08.143961,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,4c881101-a48a-4a17-bf36-6e0304e9ba30,542afcc6-bf9e-48eb-9a41-650cc2010b9b,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""source"":""FLOW"",""status"":""INTERESTED""}"
2026-05-20 23:06:42.704983,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,92d1f740-2cc1-440a-b577-99c6f44f82a7,1acc75cc-8aac-45e7-a730-0cda35234b26,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""source"":""FLOW"",""status"":""INTERESTED""}"
2026-05-21 00:05:17.299018,705ebb7f-2697-4d69-9872-c863f714d164,a9db6bdc-909b-4155-8253-74ecdf079419,39cfe5ef-b24b-47c6-b4ff-d5ace2faaf97,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""status"":""INTERESTED"",""source"":""FLOW""}"
2026-05-21 07:51:20.480706,705ebb7f-2697-4d69-9872-c863f714d164,2bcaf158-e0f4-4a0f-819a-3d5df5a3b3c7,da349a88-70cf-4349-9ad9-da498077267b,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""source"":""FLOW"",""status"":""INTERESTED""}"
2026-05-21 22:16:18.882762,705ebb7f-2697-4d69-9872-c863f714d164,29cf8295-fa84-420e-b15e-39b981621582,8ac8655b-bfff-4993-8b66-e46beb5d014b,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""status"":""INTERESTED"",""source"":""FLOW""}"
2026-06-13 09:56:24.315533,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,4d64cefb-2dd6-4419-8bed-2cf4bad05557,841fe219-7562-4215-b913-c13925a95333,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""source"":""FLOW"",""status"":""INTERESTED""}"
2026-06-14 10:14:26.48327,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,f8bf14e7-6254-4056-9bca-1a26c74ffea9,fc2216c8-a504-40a5-b964-0802369dbf14,f2743829-9058-4a1e-aaf0-1a536e6508b9,BOOKING,FLOW,BOOKING_CONFIRMED,Booking confirmed for 'opt_1' (slot: TBD),"{""service"":""opt_1"",""status"":""CONFIRMED"",""slot"":""TBD""}"
2026-06-15 22:14:11.347308,705ebb7f-2697-4d69-9872-c863f714d164,5a0ed3f8-79d1-4ac4-bf0e-3a977fa2aeac,3e9d964c-52ad-4b3e-8918-d449dc32140f,f2743829-9058-4a1e-aaf0-1a536e6508b9,BOOKING,FLOW,BOOKING_CONFIRMED,Booking confirmed for 'Tell me about your services' (slot: TBD),"{""status"":""CONFIRMED"",""service"":""Tell me about your services"",""slot"":""TBD""}"
2026-06-15 22:25:32.724451,705ebb7f-2697-4d69-9872-c863f714d164,82f001bf-678f-45b5-b9a4-ffecdeb23c69,a2b68d01-3ec8-455c-90b5-adfc01d14c7d,f2743829-9058-4a1e-aaf0-1a536e6508b9,BOOKING,FLOW,BOOKING_CONFIRMED,Booking confirmed for 'opt_1' (slot: TBD),"{""slot"":""TBD"",""status"":""CONFIRMED"",""service"":""opt_1""}"
2026-06-15 22:26:52.223684,705ebb7f-2697-4d69-9872-c863f714d164,65de6705-6311-4d5c-8b77-135b97ebc0d3,0d159861-b94f-4950-a703-5bb9ce6e6213,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""source"":""FLOW"",""status"":""INTERESTED""}"
2026-06-16 01:00:44.932009,705ebb7f-2697-4d69-9872-c863f714d164,7ecd1d52-7189-47e5-a9d2-674a2bc212d0,d517e740-859e-48ed-bedb-d93aeb9a4df1,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""status"":""INTERESTED"",""source"":""FLOW""}"
2026-06-16 01:02:48.427155,705ebb7f-2697-4d69-9872-c863f714d164,5104fdaa-3dad-4f02-a681-8891fea09bc5,065fc009-41ea-476c-9778-6ac145daa94e,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""status"":""INTERESTED"",""source"":""FLOW""}"
2026-06-16 08:35:20.196547,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,33f6cb2d-94c9-4f9a-beec-fa7ab34fa39f,fb1b8fd9-4c15-4067-a31e-6d9c683c6b92,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""source"":""FLOW"",""status"":""INTERESTED""}"
2026-06-16 23:40:55.873079,705ebb7f-2697-4d69-9872-c863f714d164,ae6e45cd-9451-498d-ae05-564fc88a99d0,9d6edb4e-04a9-49ff-b9cd-81876cbe73f3,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""status"":""INTERESTED"",""source"":""FLOW""}"
